Model,Num_Topics,Dispersion,Average_Coherence
rosie_lg_lda_1_100,100,2.0851300636088146,-0.04033815724161377
rosie_lg_lda_1_300,300,0.7518105289632889,-0.03512211157930121
rosie_lg_lda_1_200,200,1.0958163632993791,-0.04056355330505154
rosie_lg_lda_1_50,50,4.701937994341911,-0.045101240279950036
rosie_lg_lda_1_500,500,0.47895038399552925,-0.03346346739560373
rosie_lg_lda_1_400,400,0.5798475966292315,-0.033968059461434004
rosie_lg_lda_1_20,20,14.151079637558649,-0.03433004401494705
